out_acc_num,in_currency_amount,net_worth,credit_score,ratio_cash_deposits,ratio_cash_withdrawals,ratio_incoming_international,ratio_outgoing_international,label
414,14274,0.9963,5,0.8369,0.6973,0.3611,0.5819,0
415,10703,0.7245,3,0.8534,0.7277,0.8107,0.5576,0
416,13378,0.7323,2,0.0734,0.2367,0.3705,0.7414,1
417,18477,0.7734,1,0.6752,0.05,0.2213,0.4954,1
418,10517,0.048,7,0.8852,0.7575,0.3925,0.2803,0
419,9301,0.0238,5,0.5347,0.2973,0.5406,0.8483,1
420,18372,0.1124,6,0.9335,0.8644,0.6429,0.2598,0
421,14713,0.8039,10,0.0352,0.1976,0.4631,0.6982,1
422,11476,0.3165,10,0.3234,0.6219,0.8894,0.8108,0
423,18417,0.8842,6,0.2324,0.0905,0.696,0.2656,0
424,13489,0.1651,3,0.1383,0.4754,0.1065,0.6718,1
425,9392,0.5465,6,0.1038,0.6374,0.124,0.6677,0
426,15748,0.5399,1,0.1976,0.0677,0.8997,0.0389,0
427,17229,0.3593,5,0.456,0.6615,0.2418,0.9226,0
428,18164,0.0745,5,0.1544,0.1221,0.8869,0.3343,1
429,18403,0.8649,6,0.3558,0.4546,0.368,0.8852,1
430,16778,0.0104,1,0.1831,0.2267,0.825,0.268,0
431,12691,0.3423,4,0.165,0.9131,0.8163,0.1133,0
432,18101,0.9553,9,0.442,0.9332,0.0088,0.7938,0
433,14438,0.424,8,0.6095,0.715,0.2731,0.303,0
434,10409,0.364,6,0.2473,0.1951,0.5885,0.0361,1
435,17938,0.1318,1,0.3246,0.7787,0.1569,0.7947,1
436,16948,0.9944,5,0.002,0.6565,0.3725,0.8046,1
437,12772,0.3923,2,0.72,0.0595,0.8599,0.643,1
438,13223,0.2593,2,0.2319,0.6492,0.9949,0.6467,1
439,14497,0.9806,4,0.4501,0.3233,0.1866,0.9886,1
440,12633,0.4245,6,0.8859,0.326,0.2364,0.8137,0
441,15735,0.4452,1,0.1451,0.5333,0.2077,0.0534,0
442,11680,0.829,2,0.6161,0.9021,0.8751,0.6872,0
443,16154,0.4142,4,0.817,0.1716,0.9727,0.5424,0
444,16101,0.555,7,0.7182,0.4372,0.9671,0.6938,1
445,16032,0.0995,7,0.3871,0.1768,0.621,0.6481,0
446,14015,0.1115,3,0.8962,0.8339,0.2551,0.6565,0
447,15680,0.4172,9,0.5355,0.5632,0.7338,0.1161,1
448,13972,0.8124,7,0.8041,0.7582,0.7384,0.6887,1
449,9285,0.3245,9,0.8808,0.5246,0.8828,0.5751,0
450,17958,0.5303,4,0.5916,0.2988,0.8889,0.6381,0
451,17725,0.2605,5,0.613,0.8103,0.803,0.898,1
452,14992,0.655,7,0.7754,0.1121,0.4259,0.8188,0
453,17430,0.7692,1,0.4415,0.5444,0.7149,0.8239,0
454,14655,0.3903,6,0.9836,0.1085,0.6346,0.4565,1
455,8386,0.7308,8,0.1469,0.6624,0.8672,0.5733,1
456,8667,0.2062,9,0.4979,0.6314,0.7581,0.3976,0
457,14480,0.5824,2,0.7824,0.7669,0.6027,0.1409,0
458,9202,0.0079,9,0.8237,0.3793,0.8521,0.2894,0
459,8335,0.2769,7,0.2024,0.0992,0.7344,0.8356,0
460,13043,0.7378,1,0.84,0.9445,0.4422,0.35,1
461,9444,0.3237,6,0.3922,0.8763,0.1385,0.8598,1
462,11120,0.6034,8,0.877,0.8725,0.3775,0.8689,1
463,8911,0.9723,8,0.8995,0.3422,0.3356,0.1807,0
464,17017,0.4423,9,0.7966,0.7443,0.7151,0.9325,0
465,10192,0.6134,7,0.774,0.1461,0.4027,0.2857,1
466,12657,0.3074,7,0.5621,0.3347,0.808,0.642,1
467,14299,0.8679,4,0.8591,0.4087,0.3544,0.1373,0
468,9196,0.8461,10,0.7217,0.8111,0.2322,0.5167,0
469,12595,0.527,5,0.8349,0.3231,0.197,0.0102,0
470,10342,0.4526,4,0.2567,0.7775,0.5223,0.5267,1
471,11769,0.9418,4,0.0442,0.5078,0.3865,0.9025,0
472,18932,0.009,9,0.5189,0.834,0.242,0.4672,1
473,17904,0.968,2,0.3845,0.6007,0.0722,0.8988,1
474,15890,0.704,7,0.8791,0.5205,0.2416,0.9555,1
475,16664,0.0505,8,0.6587,0.8426,0.706,0.1794,0
476,8063,0.0161,7,0.0263,0.4798,0.9415,0.984,0
477,16567,0.5439,8,0.9862,0.9478,0.307,0.6574,0
478,19371,0.0901,9,0.4747,0.0328,0.9633,0.1836,1
479,15064,0.769,3,0.3649,0.3117,0.4818,0.6599,0
480,19746,0.8804,1,0.1147,0.4886,0.2431,0.4744,0
481,10691,0.7505,5,0.3019,0.8529,0.1163,0.7127,0
482,12630,0.3084,8,0.1077,0.3781,0.5937,0.36,0
483,13961,0.5378,10,0.9489,0.8816,0.056,0.7578,0
484,16832,0.7285,2,0.5292,0.007,0.619,0.8637,1
485,19658,0.4147,3,0.6456,0.4129,0.3649,0.5632,0
486,11763,0.559,10,0.4643,0.5377,0.3896,0.578,0
487,17869,0.4838,10,0.4115,0.8024,0.29,0.5218,0
488,17565,0.6221,8,0.527,0.3992,0.7042,0.2033,0
489,10310,0.8795,6,0.5035,0.3352,0.7655,0.6209,1
490,13314,0.4294,4,0.9877,0.7732,0.8864,0.9821,0
491,15373,0.6211,1,0.1646,0.5282,0.0445,0.948,0
492,19017,0.9004,5,0.671,0.1497,0.0428,0.8705,1
493,17747,0.5834,9,0.2254,0.4927,0.1869,0.2374,0
494,17185,0.0984,8,0.1108,0.0754,0.0561,0.9057,0
495,13828,0.526,9,0.5612,0.098,0.2016,0.6106,0
496,17773,0.9109,9,0.1712,0.2485,0.604,0.6732,0
497,10398,0.8753,6,0.9889,0.8774,0.2314,0.9409,0
498,19328,0.3219,10,0.6188,0.1745,0.8921,0.7556,1
499,13612,0.1919,3,0.3613,0.1896,0.8007,0.5532,0
500,14240,0.866,7,0.3429,0.4251,0.1373,0.6218,0
501,12837,0.3183,5,0.1463,0.1995,0.8667,0.9385,1
502,17498,0.7001,7,0.7945,0.0316,0.1242,0.9606,1
503,10505,0.4759,8,0.2071,0.8224,0.7482,0.9086,0
504,18309,0.0284,10,0.6015,0.2511,0.7141,0.846,1
505,13995,0.8784,7,0.315,0.3509,0.0801,0.4767,1
506,15036,0.9504,1,0.3461,0.0309,0.7732,0.3738,1
507,9454,0.1164,9,0.3044,0.8221,0.9007,0.4536,1
508,15999,0.3171,6,0.7338,0.6006,0.2981,0.6542,0
509,11775,0.5646,7,0.4572,0.4502,0.5579,0.8307,0
510,10866,0.9933,10,0.2145,0.5856,0.9909,0.8169,1
511,15700,0.0963,1,0.8679,0.9558,0.0316,0.6735,0
512,16227,0.5989,8,0.5818,0.3591,0.8656,0.4657,0
513,15074,0.6574,5,0.2851,0.5175,0.7679,0.2674,1
514,11575,0.3821,4,0.2573,0.6203,0.6211,0.2275,1
515,11306,0.4142,8,0.7949,0.8074,0.8161,0.3491,1
516,15437,0.1233,2,0.598,0.1208,0.3337,0.3324,1
517,12668,0.1226,3,0.3593,0.1916,0.2244,0.3567,1
518,10229,0.1294,7,0.0537,0.6344,0.8404,0.4654,0
519,17037,0.8557,6,0.7356,0.2726,0.0096,0.1626,1
520,16683,0.8425,9,0.7053,0.9937,0.3592,0.0736,0
521,12833,0.1815,1,0.0002,0.1134,0.6569,0.3294,0
522,16835,0.0872,2,0.6572,0.5547,0.7496,0.906,1
523,13728,0.8128,1,0.9319,0.4021,0.9487,0.2467,0
524,15925,0.0781,8,0.4455,0.361,0.9266,0.9851,1
525,16295,0.3995,3,0.5099,0.5826,0.9767,0.588,1
526,14879,0.6742,2,0.5554,0.4028,0.9089,0.4625,0
527,18107,0.0063,5,0.0637,0.3674,0.3611,0.65,1
528,15015,0.0601,5,0.7289,0.1544,0.0966,0.6919,1
529,13981,0.7164,4,0.6659,0.4479,0.6772,0.4998,0
530,16401,0.6472,7,0.8367,0.2595,0.8808,0.3215,0
531,9478,0.6198,4,0.4214,0.3729,0.3424,0.9025,1
532,9039,0.9849,8,0.9455,0.8373,0.2755,0.0384,0
533,16718,0.5165,3,0.8324,0.5695,0.1706,0.2453,0
534,19247,0.7755,8,0.0205,0.3366,0.005,0.5785,1
535,14367,0.1844,3,0.7483,0.9157,0.3798,0.369,0
536,14152,0.9933,6,0.1068,0.0373,0.6162,0.7354,0
537,9494,0.8733,10,0.8293,0.8576,0.369,0.0254,1
538,14816,0.1502,1,0.9726,0.2771,0.3412,0.0368,1
539,14333,0.7052,3,0.0431,0.8331,0.7252,0.0063,1
540,15034,0.1349,5,0.3167,0.7604,0.4656,0.3893,1
541,16784,0.0209,9,0.8624,0.6715,0.3474,0.3058,0
542,12976,0.2588,3,0.4707,0.9383,0.4306,0.8363,1
543,12550,0.8467,2,0.3324,0.6922,0.1503,0.7698,1
544,14271,0.9155,2,0.9548,0.1183,0.8262,0.2833,1
545,15794,0.8235,1,0.245,0.7769,0.5878,0.0367,0
546,12851,0.0828,6,0.3972,0.869,0.64,0.9225,0
547,16499,0.1294,4,0.3801,0.9917,0.3534,0.92,0
548,17490,0.3451,7,0.566,0.9871,0.2803,0.3735,0
549,13754,0.1027,5,0.5621,0.4209,0.3019,0.585,0
550,15790,0.7811,9,0.5735,0.2485,0.9781,0.5719,1
551,17903,0.9469,10,0.0942,0.9203,0.3845,0.7286,0
552,13144,0.7823,1,0.8699,0.6986,0.595,0.2991,1
553,11275,0.8168,6,0.8125,0.2917,0.7189,0.248,0
554,12411,0.2207,6,0.4698,0.8445,0.8971,0.737,0
555,19324,0.497,3,0.0035,0.5161,0.7144,0.233,1
556,19037,0.8375,10,0.5086,0.1568,0.8869,0.3082,0
557,13859,0.6782,7,0.6778,0.7748,0.3651,0.1554,0
558,15603,0.6219,10,0.7972,0.8066,0.1254,0.3952,1
559,9019,0.117,9,0.1083,0.087,0.2132,0.9578,0
560,17427,0.0023,1,0.0842,0.6931,0.7005,0.9733,1
561,11714,0.3022,9,0.214,0.2774,0.3014,0.843,1
562,16718,0.4771,2,0.1029,0.1785,0.7221,0.3012,0
563,13976,0.8574,4,0.4765,0.7703,0.1543,0.0556,1
564,10102,0.2583,3,0.8655,0.8565,0.2655,0.0575,0
565,9969,0.6115,5,0.4173,0.5785,0.1156,0.2211,1
566,13650,0.4783,6,0.3831,0.3787,0.353,0.1857,0
567,14528,0.0654,5,0.4208,0.7069,0.8978,0.9684,1
568,8329,0.5957,10,0.0554,0.9891,0.9649,0.0309,0
569,16653,0.8924,4,0.4066,0.396,0.4585,0.6394,1
570,11870,0.9708,8,0.2087,0.4112,0.9579,0.5662,1
571,18905,0.5261,6,0.748,0.1533,0.2594,0.773,0
572,15896,0.2071,5,0.4331,0.7741,0.8296,0.9308,0
573,9848,0.0834,8,0.4449,0.8908,0.9652,0.829,1
574,16582,0.7703,8,0.6864,0.9197,0.4148,0.2751,1
575,10549,0.4819,10,0.6803,0.5435,0.1482,0.5311,0
576,9119,0.9019,6,0.7409,0.8456,0.2324,0.1559,1
577,17182,0.5807,6,0.3759,0.5015,0.1823,0.1219,1
578,19726,0.6944,6,0.0155,0.879,0.179,0.1565,1
579,10679,0.2492,6,0.8553,0.3523,0.5345,0.6727,1
580,13345,0.9139,5,0.8195,0.717,0.6721,0.3905,0
581,16120,0.6673,9,0.18,0.1625,0.8817,0.9184,1
582,14480,0.0753,5,0.9439,0.0193,0.0729,0.1517,0
583,18208,0.5041,4,0.7879,0.5332,0.2891,0.3172,0
584,19359,0.0393,8,0.929,0.6022,0.7562,0.5461,1
585,16239,0.2099,7,0.2304,0.3631,0.1492,0.1715,1
586,11193,0.3091,3,0.566,0.9382,0.0737,0.1056,1
587,15396,0.5868,1,0.761,0.7709,0.3633,0.8829,0
588,11188,0.3332,9,0.8832,0.1107,0.824,0.8326,1
589,11871,0.3712,4,0.8797,0.4449,0.2035,0.3586,1
590,19348,0.4562,9,0.9157,0.5627,0.7531,0.5224,0
591,11355,0.5751,1,0.832,0.6692,0.2594,0.4536,1
592,11658,0.8814,1,0.4798,0.3424,0.614,0.1582,1
593,15324,0.4888,1,0.9519,0.349,0.3287,0.6206,1
594,16306,0.6341,5,0.3362,0.5079,0.2432,0.7996,0
595,15326,0.9067,10,0.2314,0.8223,0.3099,0.9093,1
596,14037,0.3384,9,0.579,0.1079,0.9514,0.2053,0
597,10366,0.6636,10,0.5994,0.1085,0.7108,0.7177,0
598,9287,0.4042,5,0.3654,0.2169,0.4785,0.2935,0
599,17564,0.6256,8,0.8533,0.6768,0.7999,0.2074,0
600,10006,0.0717,9,0.534,0.2242,0.2422,0.0418,1
601,13562,0.1154,5,0.8813,0.7203,0.3937,0.4645,1
602,9593,0.1854,6,0.3948,0.4289,0.2227,0.708,0
603,11074,0.0675,1,0.2019,0.3652,0.1112,0.6932,0
604,12125,0.2234,10,0.7684,0.6377,0.8549,0.105,1
605,9846,0.3284,3,0.4621,0.3753,0.6183,0.5563,0
606,9915,0.3002,7,0.7596,0.0019,0.3694,0.7435,0
607,9817,0.3905,10,0.4921,0.6122,0.7738,0.3708,1
608,16947,0.6347,3,0.9888,0.5972,0.1787,0.2222,1
609,18099,0.0517,10,0.9337,0.6983,0.7044,0.882,0
610,11806,0.0554,3,0.783,0.6972,0.1833,0.7505,1
611,17849,0.8404,9,0.3701,0.0992,0.347,0.709,0
612,15647,0.2833,6,0.749,0.2632,0.8336,0.0712,1
613,11221,0.6312,6,0.7848,0.4689,0.8358,0.0857,0
614,19081,0.4521,8,0.718,0.5455,0.913,0.8254,1
615,9573,0.4,5,0.7424,0.8824,0.8475,0.733,1
616,8959,0.5965,6,0.4893,0.8118,0.9189,0.8803,1
617,14686,0.3822,7,0.3844,0.1862,0.0185,0.2685,0
618,9738,0.2571,4,0.5319,0.7632,0.822,0.766,1
619,17727,0.1025,3,0.6434,0.1428,0.8036,0.2464,1
620,8956,0.3081,7,0.2131,0.3652,0.8211,0.9556,0
621,17290,0.3557,7,0.6727,0.292,0.4056,0.4916,1
622,17420,0.3906,5,0.6946,0.2633,0.6556,0.4947,1
623,19031,0.2169,6,0.2369,0.6031,0.1153,0.9985,1
624,16504,0.4971,3,0.3459,0.2319,0.0943,0.5855,1
625,18944,0.914,8,0.2762,0.0895,0.4966,0.8826,1
626,14274,0.2568,3,0.0004,0.7512,0.7231,0.3538,1
627,17242,0.1039,10,0.4455,0.085,0.3358,0.7289,1
628,11486,0.8088,1,0.0819,0.2104,0.2496,0.6377,0
629,16213,0.1144,5,0.6936,0.6971,0.8171,0.2694,1
630,15709,0.9923,1,0.5577,0.5132,0.6205,0.8603,1
631,15423,0.7158,4,0.8036,0.7093,0.0583,0.2842,1
632,12413,0.0751,10,0.1207,0.2737,0.5648,0.0061,1
633,14798,0.4526,10,0.2491,0.744,0.4763,0.7454,1
634,13933,0.9021,7,0.2074,0.175,0.3267,0.3533,1
635,11922,0.447,1,0.2794,0.8424,0.4325,0.7448,0
636,13476,0.8189,10,0.0028,0.3061,0.5227,0.1825,1
637,9544,0.2764,2,0.9806,0.6215,0.0054,0.6137,1
638,15300,0.0889,8,0.4488,0.8997,0.782,0.0281,1
639,13454,0.1161,3,0.1312,0.1673,0.5485,0.0994,1
640,17816,0.2228,8,0.7706,0.7082,0.2855,0.8225,1
641,8623,0.3292,9,0.8023,0.3909,0.3169,0.3317,0
642,11503,0.2077,2,0.4109,0.7785,0.2607,0.9127,0
643,16887,0.6783,1,0.8136,0.8328,0.0051,0.915,1
644,16929,0.3252,10,0.4359,0.4751,0.9743,0.6295,1
645,8436,0.3368,7,0.9679,0.6225,0.7252,0.5421,0
646,9720,0.8496,10,0.9352,0.5708,0.0591,0.5269,1
647,8865,0.6519,9,0.0266,0.9842,0.3019,0.5255,1
648,18974,0.3021,4,0.6366,0.4058,0.0611,0.8707,0
649,19715,0.9085,9,0.1344,0.9442,0.2032,0.9553,0
650,8031,0.5182,2,0.5837,0.0287,0.6497,0.6934,0
651,18782,0.2125,8,0.7031,0.4064,0.8572,0.4721,1
652,16115,0.5484,8,0.5376,0.6685,0.1494,0.5188,0
653,10765,0.8973,4,0.523,0.101,0.5903,0.5759,0
654,18827,0.798,1,0.3366,0.8276,0.6,0.4122,1
655,12414,0.4724,8,0.4072,0.0204,0.4299,0.403,0
656,15510,0.6477,10,0.5822,0.9238,0.5731,0.1811,0
657,18820,0.8395,4,0.8189,0.3175,0.0673,0.396,1
658,10379,0.3184,1,0.6118,0.5485,0.7049,0.366,0
659,12200,0.8497,9,0.8016,0.5343,0.8426,0.3667,1
660,11359,0.9782,9,0.9918,0.6214,0.6481,0.3845,0
661,13934,0.6358,1,0.5917,0.6044,0.8988,0.9779,0
662,13544,0.515,5,0.9857,0.7322,0.9284,0.7558,0
663,18525,0.1671,10,0.5042,0.8233,0.4282,0.6329,1
664,16111,0.6492,4,0.2256,0.9419,0.9871,0.5379,0
665,16887,0.5162,10,0.7546,0.5143,0.655,0.8273,0
666,9434,0.8068,3,0.921,0.7544,0.5908,0.9302,1
667,17469,0.9729,1,0.471,0.4525,0.458,0.7679,0
668,18001,0.1254,6,0.9472,0.2284,0.2373,0.2968,0
669,13081,0.3412,3,0.3498,0.5425,0.0382,0.1778,0
670,10563,0.3474,4,0.4204,0.5407,0.4249,0.606,1
671,19621,0.5154,8,0.1531,0.9585,0.4978,0.109,0
672,19211,0.2468,9,0.4302,0.4455,0.2562,0.5179,1
673,15976,0.704,6,0.9496,0.5046,0.4631,0.6771,0
674,10456,0.9058,6,0.7711,0.2844,0.6072,0.3957,0
675,15109,0.0161,4,0.3678,0.2507,0.186,0.7916,0
676,18969,0.0588,8,0.318,0.378,0.9349,0.643,0
677,13999,0.2862,5,0.5521,0.337,0.647,0.1185,0
678,14904,0.762,8,0.3268,0.5058,0.1237,0.526,1
679,10161,0.2243,1,0.0706,0.5452,0.1352,0.9407,1
680,18022,0.029,7,0.8682,0.6018,0.2127,0.4709,0
681,14554,0.7847,10,0.5742,0.0553,0.1994,0.131,0
682,18659,0.8305,5,0.4501,0.4249,0.2744,0.7899,0
683,16936,0.3868,8,0.4063,0.9744,0.3908,0.0595,1
684,13805,0.1161,6,0.3399,0.8471,0.6831,0.3785,0
685,11497,0.1829,2,0.4583,0.9017,0.1105,0.0687,0
686,13526,0.0996,5,0.0472,0.5787,0.2003,0.641,0
687,12283,0.6312,6,0.2316,0.3711,0.836,0.9083,1
688,18274,0.3089,7,0.8062,0.1601,0.0084,0.6481,0
689,16217,0.0696,6,0.7729,0.3113,0.4484,0.4714,0
690,18452,0.2855,9,0.9923,0.5747,0.2649,0.7409,1
691,8188,0.0502,9,0.464,0.9137,0.3039,0.0695,1
692,19584,0.2661,9,0.389,0.7546,0.6878,0.83,1
693,10782,0.5442,10,0.2447,0.2544,0.937,0.9605,0
694,11650,0.2739,9,0.2071,0.5837,0.5994,0.6226,1
695,13827,0.7235,5,0.4264,0.7495,0.6018,0.0522,0
696,12453,0.7882,10,0.2724,0.728,0.3991,0.9185,0
697,10038,0.4074,5,0.6216,0.9983,0.2649,0.7737,0
698,13885,0.5178,10,0.7996,0.1182,0.6766,0.7002,1
699,10422,0.6962,3,0.3866,0.8828,0.8465,0.2611,0
700,18470,0.4819,7,0.1829,0.5479,0.8761,0.6088,0
701,13791,0.7382,5,0.6775,0.7433,0.6348,0.7813,1
702,10461,0.8316,7,0.4886,0.5975,0.0551,0.1144,1
703,19558,0.5309,8,0.6833,0.9028,0.9299,0.7069,0
704,9245,0.322,9,0.476,0.3212,0.5519,0.54,1
705,8411,0.0657,10,0.8846,0.6222,0.5853,0.1439,0
706,11794,0.9072,10,0.9394,0.4286,0.6935,0.1658,0
707,19679,0.1134,10,0.9256,0.2557,0.0424,0.6399,1
708,9117,0.6041,5,0.2897,0.1256,0.6784,0.1934,1
709,16174,0.1226,9,0.8709,0.8842,0.7322,0.0518,1
710,16294,0.6295,2,0.3744,0.3469,0.3314,0.3617,1
711,10827,0.7389,5,0.1807,0.9757,0.2879,0.6545,1
712,13792,0.2651,1,0.9054,0.1191,0.4042,0.3634,1
713,8137,0.3822,8,0.1926,0.7847,0.946,0.4535,0
714,16081,0.2107,4,0.234,0.7192,0.1804,0.6472,1
715,10633,0.6871,7,0.8417,0.0632,0.6908,0.7214,1
716,8843,0.6474,9,0.7117,0.1319,0.3257,0.4013,0
717,14133,0.5818,6,0.8431,0.1288,0.9557,0.3147,1
718,10047,0.7375,6,0.4139,0.855,0.2126,0.3559,0
719,17644,0.7011,2,0.8841,0.4224,0.2632,0.0657,0
720,13410,0.5043,1,0.4867,0.4419,0.9547,0.9243,1
721,8165,0.9392,9,0.0932,0.9499,0.4984,0.5579,0
722,15548,0.8186,2,0.7298,0.6512,0.095,0.4939,0
723,12965,0.8287,9,0.8912,0.2254,0.2441,0.3243,0
724,17997,0.6782,4,0.6923,0.1867,0.0173,0.2221,1
725,11013,0.0007,8,0.543,0.8326,0.0598,0.0456,0
726,15572,0.3226,7,0.7501,0.7234,0.3665,0.333,0
727,16150,0.6315,8,0.3616,0.2808,0.0187,0.5321,1
728,9669,0.4197,1,0.5195,0.3505,0.5032,0.6114,1
729,8900,0.4511,5,0.4592,0.8188,0.6612,0.8801,1
730,8727,0.9044,5,0.8193,0.0767,0.5142,0.3171,0
731,9750,0.4185,9,0.5044,0.6407,0.0169,0.5746,0
732,15958,0.753,9,0.4615,0.4982,0.0336,0.4963,1
733,13080,0.6048,5,0.9151,0.5952,0.9253,0.1866,0
734,15239,0.4849,2,0.2189,0.6565,0.127,0.0565,1
735,14114,0.6491,2,0.9366,0.9099,0.6925,0.4713,0
736,11757,0.304,4,0.4189,0.4668,0.0997,0.8401,1
737,16933,0.1786,10,0.7304,0.6121,0.6011,0.2247,1
738,13946,0.0737,4,0.8077,0.4987,0.7347,0.4523,0
739,14022,0.2323,9,0.4905,0.5632,0.4309,0.8421,0
740,8194,0.2612,7,0.0633,0.8042,0.7029,0.2803,0
741,16304,0.8269,6,0.1485,0.2568,0.3448,0.6351,0
742,11104,0.0628,3,0.5469,0.7096,0.4213,0.4243,1
743,16068,0.0018,8,0.4406,0.9371,0.8021,0.6756,1
744,9764,0.2791,7,0.818,0.7528,0.4266,0.2792,1
745,8035,0.9384,7,0.467,0.8575,0.1612,0.2121,0
746,17903,0.0299,7,0.7783,0.0503,0.5125,0.6323,0
747,18482,0.4863,2,0.324,0.4365,0.4906,0.1154,0
748,8334,0.3846,6,0.1924,0.3749,0.5092,0.2697,0
749,9944,0.1916,8,0.673,0.7846,0.0584,0.4671,0
750,13315,0.9438,4,0.0644,0.072,0.658,0.3183,1
751,15444,0.4418,6,0.0513,0.8162,0.2537,0.4403,0
752,19567,0.8974,2,0.0129,0.384,0.7957,0.8866,0
753,18717,0.7834,3,0.6633,0.3659,0.6897,0.448,1
754,14797,0.6384,1,0.8497,0.6817,0.6736,0.2922,1
755,8776,0.1429,10,0.79,0.7916,0.3922,0.958,1
756,17283,0.4655,5,0.5723,0.4486,0.5817,0.3372,0
757,19505,0.4963,1,0.2513,0.3674,0.8656,0.5659,0
758,14785,0.0661,2,0.9515,0.4614,0.4575,0.4763,1
759,13028,0.2095,8,0.8842,0.5962,0.0921,0.3141,0
760,17165,0.9789,10,0.0828,0.0945,0.8818,0.569,0
761,8845,0.6493,7,0.447,0.1768,0.5727,0.6732,0
762,14362,0.7241,1,0.4199,0.3749,0.5746,0.4448,1
763,19207,0.7756,10,0.303,0.1244,0.583,0.6932,0
764,9421,0.0044,3,0.2568,0.3493,0.1717,0.1572,1
765,14145,0.1613,7,0.0408,0.3862,0.8672,0.2834,1
766,11958,0.2464,9,0.3588,0.269,0.1572,0.2369,0
767,17322,0.0876,7,0.5325,0.2656,0.6421,0.3011,1
768,17431,0.368,8,0.9523,0.2565,0.6892,0.4766,1
769,8977,0.336,10,0.4872,0.017,0.3169,0.2484,1
770,14340,0.5377,10,0.416,0.2413,0.0949,0.4979,0
771,11900,0.5537,10,0.3398,0.6383,0.1534,0.1012,1
772,14554,0.4069,6,0.4249,0.9393,0.6519,0.8479,0
773,16672,0.6606,9,0.6326,0.1837,0.9557,0.0218,0
774,13845,0.0292,1,0.0612,0.2472,0.8575,0.4779,0
775,10992,0.7073,3,0.9582,0.2394,0.1557,0.3042,1
776,13389,0.7054,1,0.0841,0.181,0.0181,0.0648,0
777,11120,0.7262,6,0.8655,0.6625,0.4488,0.5678,1
778,16986,0.1022,8,0.7442,0.6622,0.4842,0.6433,0
779,12326,0.2419,10,0.2445,0.6198,0.3663,0.3104,0
780,9047,0.9167,6,0.4466,0.0097,0.3585,0.3543,0
781,10210,0.6583,9,0.7678,0.376,0.2589,0.7368,1
782,15309,0.7927,6,0.7702,0.7784,0.0568,0.3244,1
783,15390,0.3582,2,0.8063,0.9141,0.1349,0.9808,0
784,15534,0.773,8,0.5851,0.6496,0.0366,0.3674,0
785,19460,0.0832,4,0.8557,0.1387,0.4617,0.2402,1
786,17684,0.2005,9,0.7684,0.171,0.3473,0.5139,1
787,18539,0.1714,6,0.7407,0.872,0.1356,0.3615,1
788,15365,0.6234,4,0.5255,0.3529,0.324,0.6435,1
789,17941,0.7453,5,0.6954,0.6208,0.8654,0.8913,0
790,15315,0.8758,6,0.1361,0.7846,0.5059,0.3934,0
791,14789,0.1848,2,0.666,0.9166,0.0335,0.2962,0
792,9855,0.9565,6,0.3265,0.0623,0.0726,0.8593,0
793,12540,0.8829,1,0.4487,0.2155,0.1856,0.3055,0
794,18012,0.1828,6,0.5201,0.658,0.5433,0.2209,0
795,15357,0.6032,2,0.3957,0.994,0.841,0.5389,0
796,15081,0.885,3,0.8717,0.0364,0.1056,0.0342,1
797,15682,0.6563,7,0.3658,0.6086,0.5991,0.6306,0
798,16869,0.1062,9,0.0393,0.7213,0.96,0.3872,0
799,9300,0.8981,3,0.2034,0.7365,0.3647,0.9398,1
800,14098,0.8527,4,0.3018,0.9546,0.0312,0.0287,1
801,19156,0.7551,9,0.1762,0.311,0.366,0.132,1
802,15742,0.6638,9,0.9731,0.5829,0.6442,0.6385,1
803,16864,0.4836,3,0.2617,0.8524,0.8557,0.8591,1
804,12724,0.8567,7,0.9859,0.8694,0.8921,0.352,0
805,14132,0.7298,7,0.7123,0.9517,0.4378,0.2617,0
806,11342,0.0537,5,0.4305,0.2812,0.0587,0.9585,0
807,14698,0.946,5,0.1497,0.8405,0.5088,0.8995,0
808,10085,0.709,1,0.9452,0.5875,0.9269,0.8567,0
809,14976,0.2809,8,0.6117,0.3609,0.0289,0.8105,0
810,14966,0.0016,6,0.9165,0.8085,0.7929,0.0288,0
811,11155,0.5009,2,0.5348,0.7093,0.4411,0.8161,0
812,19665,0.6178,9,0.2293,0.6537,0.2245,0.5794,1
813,18513,0.8832,10,0.9342,0.6062,0.3233,0.7669,1
814,19592,0.7898,8,0.8897,0.4279,0.0818,0.1368,0
815,16826,0.1613,5,0.919,0.742,0.4468,0.6856,0
816,18310,0.4395,8,0.9637,0.9838,0.8713,0.5676,1
817,12416,0.5959,1,0.8449,0.5494,0.0061,0.5917,0
818,18205,0.2701,7,0.6021,0.2195,0.1982,0.6507,0
819,17646,0.3515,7,0.2267,0.0829,0.1109,0.1707,0
820,9189,0.4621,7,0.91,0.8707,0.7595,0.938,1
821,9170,0.9516,9,0.2455,0.8707,0.8228,0.3523,1
822,12936,0.106,3,0.1567,0.3062,0.987,0.978,0
823,16519,0.8559,5,0.8048,0.437,0.8341,0.9257,1
824,13900,0.0833,9,0.9737,0.1754,0.0921,0.1867,1
825,8745,0.5154,7,0.4779,0.3888,0.7504,0.918,0
826,14742,0.0617,8,0.5324,0.7588,0.3908,0.4614,1
827,18966,0.92,2,0.9771,0.0262,0.0184,0.2355,1
828,11715,0.253,1,0.2889,0.1641,0.0671,0.4835,0
