out_acc_num,no_of_in,distinct_no_of_in,sumin,net_worth,credit_score,ratio_cash_deposits,ratio_cash_withdrawals,ratio_incoming_international,ratio_outgoing_international,label
369,8,4,339684,0.3588,9,0.0419,0.9096,0.9248,0.6871,0
370,5,11,304120,0.7646,1,0.6124,0.213,0.2815,0.7146,1
371,14,1,225391,0.861,8,0.3346,0.8317,0.557,0.3986,1
372,8,10,379411,0.2475,4,0.4716,0.391,0.9199,0.7416,0
373,15,7,233012,0.433,9,0.1677,0.7436,0.6155,0.6181,1
374,8,5,264485,0.9085,7,0.7712,0.3987,0.9816,0.9878,0
375,15,11,259269,0.3815,9,0.0334,0.9905,0.61,0.8204,1
376,2,11,84763,0.2977,5,0.3918,0.4641,0.1132,0.4701,1
377,9,8,81619,0.4748,8,0.6874,0.456,0.0031,0.24,1
378,14,12,232950,0.8352,10,0.629,0.1644,0.8292,0.3829,1
379,10,2,499275,0.6107,5,0.4626,0.3259,0.3805,0.3937,1
380,5,6,78121,0.4651,7,0.1924,0.1183,0.7585,0.4071,0
381,5,9,178351,0.8491,2,0.4757,0.7411,0.8984,0.8499,0
382,7,3,484284,0.6631,10,0.3302,0.8066,0.0217,0.5293,1
383,5,5,398781,0.9216,7,0.2484,0.8804,0.1673,0.6731,0
384,7,2,245247,0.3862,2,0.3921,0.6468,0.0228,0.4561,1
385,11,13,364215,0.7635,1,0.1123,0.1195,0.8947,0.1116,1
386,9,11,156126,0.2442,2,0.9988,0.4497,0.8978,0.9684,1
387,4,2,348626,0.8269,7,0.054,0.6607,0.1826,0.1173,1
388,15,13,270476,0.098,5,0.8848,0.5941,0.7345,0.1805,1
389,11,13,287636,0.0433,4,0.4888,0.3276,0.687,0.9206,1
390,11,3,89254,0.7804,2,0.9506,0.9609,0.1124,0.4475,1
391,11,2,259439,0.0527,9,0.2445,0.8022,0.4982,0.5651,0
392,10,3,461736,0.7507,3,0.8953,0.1781,0.2268,0.4874,0
393,14,9,114520,0.3169,7,0.1239,0.19,0.5388,0.3648,1
394,6,6,85676,0.4587,9,0.7114,0.5112,0.5849,0.2066,0
395,9,11,420459,0.5173,3,0.8785,0.314,0.8494,0.0411,1
396,5,9,439284,0.1546,1,0.7753,0.5376,0.1288,0.7058,1
397,1,5,307084,0.9365,5,0.4561,0.2644,0.0181,0.606,0
398,14,9,455774,0.5614,2,0.1966,0.3956,0.8337,0.7966,0
399,15,10,368317,0.2321,5,0.673,0.2734,0.3899,0.4725,0
400,15,3,74869,0.9567,2,0.8654,0.267,0.7711,0.5451,0
401,14,3,130275,0.8555,9,0.3239,0.9174,0.3461,0.3426,1
402,3,13,230334,0.5919,2,0.6749,0.0568,0.7785,0.4389,0
403,7,12,463141,0.8835,2,0.4018,0.3224,0.6249,0.2717,1
404,3,2,103016,0.1035,5,0.4535,0.5688,0.7614,0.6687,1
405,14,9,157089,0.2724,9,0.4542,0.214,0.1846,0.5894,1
406,6,10,317628,0.0948,4,0.1986,0.6036,0.6929,0.7508,0
407,5,1,216305,0.3206,2,0.5132,0.2432,0.261,0.9772,1
408,2,7,429926,0.3358,5,0.085,0.9963,0.09,0.3589,1
409,3,11,484210,0.3416,9,0.6719,0.9469,0.6799,0.6694,1
410,2,6,82221,0.6515,8,0.5,0.6164,0.9597,0.6856,1
411,3,11,457954,0.2733,8,0.4515,0.1736,0.1678,0.464,1
412,14,4,217869,0.8569,8,0.6321,0.27,0.3281,0.5224,0
413,10,10,371196,0.598,5,0.3815,0.1874,0.2676,0.7148,1
414,1,3,329477,0.3384,4,0.5962,0.2171,0.8043,0.6529,0
415,9,1,335253,0.7472,4,0.2289,0.8664,0.424,0.5969,0
416,2,13,239853,0.2977,1,0.9166,0.2042,0.1531,0.5197,0
417,9,9,388651,0.1708,9,0.1787,0.4757,0.5873,0.9801,1
418,10,2,216196,0.7746,4,0.8272,0.9054,0.9465,0.3765,1
419,1,7,476293,0.6865,10,0.3197,0.7465,0.6754,0.7094,1
420,3,12,497951,0.862,6,0.3952,0.7276,0.9235,0.3084,0
421,7,11,316102,0.3626,9,0.9819,0.1857,0.0646,0.8249,0
422,14,2,167188,0.2344,8,0.9068,0.6589,0.3082,0.9133,0
423,8,1,247636,0.9134,2,0.5661,0.8617,0.2979,0.1029,0
424,14,5,193553,0.8934,1,0.8286,0.3127,0.723,0.1575,1
425,12,11,341073,0.7452,1,0.5946,0.3371,0.0181,0.7851,0
426,11,9,396186,0.2342,5,0.2426,0.8344,0.7224,0.6846,1
427,7,7,337444,0.1588,3,0.1742,0.9394,0.5607,0.6102,1
428,13,8,66297,0.7808,5,0.8812,0.7307,0.1626,0.0024,1
429,5,12,424091,0.8586,4,0.7017,0.0239,0.3209,0.0515,1
430,15,5,450781,0.6761,3,0.2003,0.845,0.4838,0.539,0
431,15,2,182082,0.776,1,0.4136,0.8023,0.1595,0.1749,0
432,2,8,256092,0.8738,5,0.8876,0.4172,0.2277,0.5403,0
433,9,5,453642,0.5478,6,0.3405,0.272,0.1724,0.3795,1
434,2,12,102533,0.9274,4,0.456,0.2114,0.2334,0.7203,1
435,11,13,301558,0.7486,8,0.4748,0.8393,0.0791,0.9615,0
436,7,3,162050,0.345,6,0.1621,0.4393,0.1094,0.0435,0
437,3,4,383054,0.687,10,0.9573,0.1703,0.8718,0.9692,1
438,3,12,30367,0.712,6,0.8614,0.0184,0.1734,0.3594,0
439,13,11,271707,0.7018,2,0.9131,0.722,0.0502,0.8713,1
440,2,8,286605,0.9081,5,0.9611,0.5678,0.2249,0.7183,0
441,9,8,268680,0.535,8,0.6166,0.4193,0.6859,0.681,0
442,7,10,51385,0.3434,9,0.292,0.7528,0.5878,0.9947,1
443,3,12,460298,0.999,5,0.3528,0.597,0.5893,0.5618,0
444,14,2,416015,0.9239,9,0.1367,0.8461,0.4912,0.4912,0
445,10,13,137172,0.6799,5,0.4122,0.7805,0.0912,0.4849,1
446,15,10,308218,0.9043,8,0.8678,0.6452,0.9561,0.1181,0
447,5,1,156116,0.8214,9,0.1696,0.1159,0.148,0.1035,0
448,8,13,230288,0.6608,4,0.2913,0.5104,0.536,0.172,0
449,3,13,179674,0.6728,1,0.2167,0.4843,0.8034,0.185,1
450,4,9,348350,0.1921,1,0.2667,0.9553,0.7025,0.6759,1
451,11,13,412799,0.8969,6,0.6017,0.5467,0.2551,0.6171,1
452,13,9,79082,0.7474,8,0.9023,0.3559,0.1415,0.221,0
453,14,8,260158,0.2834,6,0.947,0.1278,0.85,0.0528,1
454,6,10,36245,0.1056,10,0.698,0.6275,0.5047,0.3168,1
455,6,7,143711,0.9504,1,0.8043,0.669,0.032,0.4892,0
456,3,11,163302,0.0691,1,0.8784,0.2287,0.931,0.3681,1
457,12,9,350991,0.841,7,0.9615,0.513,0.4394,0.5818,0
458,2,2,146289,0.2732,3,0.863,0.0381,0.8853,0.877,1
459,3,13,327050,0.7577,5,0.8234,0.7982,0.1813,0.1451,1
460,8,3,200811,0.1092,9,0.2739,0.7487,0.0404,0.1878,0
461,14,7,397943,0.7937,10,0.4513,0.414,0.8457,0.2964,0
462,3,12,414652,0.554,7,0.8405,0.5961,0.4114,0.6257,1
463,14,4,277790,0.2302,3,0.9035,0.1154,0.1058,0.0749,0
464,6,8,180962,0.4034,5,0.1255,0.5794,0.1601,0.8601,0
465,7,9,126169,0.2286,6,0.4844,0.7208,0.2019,0.4518,0
466,12,3,364756,0.2581,7,0.2259,0.2106,0.6673,0.1775,0
467,5,7,280114,0.821,3,0.4375,0.223,0.8985,0.9124,0
468,1,1,66512,0.2795,5,0.4227,0.7497,0.0282,0.8404,1
469,2,9,67121,0.3589,5,0.0256,0.9003,0.9717,0.4736,1
470,12,8,302632,0.1401,7,0.9989,0.001,0.7212,0.6578,1
471,1,1,96502,0.7185,5,0.0462,0.1742,0.4309,0.3592,1
472,13,10,308216,0.9477,2,0.7069,0.4705,0.3195,0.6159,0
473,14,4,448526,0.8622,6,0.0874,0.929,0.9268,0.5601,0
474,8,11,317890,0.1337,5,0.6278,0.8775,0.7171,0.9207,1
475,11,9,392576,0.4112,2,0.3949,0.5091,0.3108,0.6642,0
476,14,5,214242,0.5632,7,0.5484,0.0066,0.6458,0.6996,1
477,10,11,285547,0.1965,10,0.3914,0.409,0.9328,0.6602,0
478,9,1,141276,0.0447,4,0.1903,0.0823,0.2748,0.0039,1
479,15,7,281698,0.7434,8,0.9623,0.4583,0.5545,0.043,1
480,4,13,340157,0.6715,5,0.1162,0.4818,0.2277,0.3687,1
481,12,3,145136,0.529,9,0.8624,0.5465,0.3937,0.6909,0
482,15,7,465843,0.5551,10,0.2698,0.087,0.5294,0.5891,0
483,3,3,379805,0.5906,7,0.8258,0.8405,0.2942,0.7366,0
484,12,8,197074,0.515,5,0.075,0.9419,0.2165,0.9366,1
485,12,1,488052,0.5804,10,0.4843,0.1125,0.3499,0.5983,0
486,4,12,371092,0.1787,3,0.2096,0.0109,0.4659,0.8115,1
487,3,2,392602,0.2783,8,0.6415,0.998,0.4176,0.6718,1
488,9,9,385218,0.8148,10,0.1933,0.0841,0.3796,0.3442,1
489,11,4,340279,0.6455,2,0.9566,0.4478,0.1514,0.533,1
490,8,6,46098,0.9377,10,0.1593,0.2367,0.4765,0.5377,1
491,15,6,285062,0.293,3,0.2108,0.4431,0.8567,0.9377,1
492,4,3,362866,0.1915,10,0.8063,0.8362,0.0431,0.372,0
493,5,11,396534,0.1092,9,0.406,0.8138,0.4988,0.6803,0
494,12,13,134005,0.2322,1,0.1953,0.8181,0.4326,0.7029,1
495,6,2,239469,0.7323,1,0.7594,0.3954,0.4173,0.6421,1
496,10,12,143904,0.4711,7,0.958,0.0393,0.8801,0.202,1
497,4,7,364600,0.0166,7,0.3395,0.0741,0.995,0.2269,0
498,12,10,185769,0.6946,2,0.4611,0.2719,0.6982,0.3391,0
499,6,13,473213,0.8213,1,0.0622,0.2324,0.1097,0.7098,1
500,11,4,236638,0.2798,9,0.8152,0.9282,0.6506,0.1727,0
501,7,3,129072,0.881,1,0.3444,0.4571,0.1114,0.9307,0
502,6,11,352483,0.2184,3,0.1495,0.8765,0.8179,0.0165,0
503,2,7,209460,0.3029,6,0.89,0.3098,0.2392,0.1946,1
504,14,11,251653,0.1631,8,0.0465,0.4105,0.914,0.6879,0
505,12,1,217832,0.0456,9,0.9338,0.5857,0.1981,0.1712,0
506,13,3,398364,0.9346,5,0.7569,0.2678,0.2649,0.9381,1
507,3,3,417785,0.4789,4,0.6944,0.9563,0.1151,0.5162,1
508,11,9,57199,0.8818,1,0.1829,0.746,0.8277,0.075,0
509,10,1,168112,0.4012,9,0.9183,0.7828,0.9262,0.8474,0
510,14,9,419027,0.7803,7,0.2093,0.4311,0.8439,0.094,1
511,13,13,54024,0.2925,10,0.8128,0.5263,0.157,0.152,0
512,15,11,157603,0.1175,10,0.0695,0.798,0.435,0.3407,1
513,15,6,471093,0.7742,6,0.4517,0.5901,0.5559,0.3796,0
514,1,12,78485,0.4504,2,0.0809,0.9309,0.0285,0.429,1
515,5,1,35330,0.6275,9,0.1821,0.4785,0.1058,0.0181,0
516,5,4,480737,0.7116,3,0.376,0.7043,0.6849,0.5497,0
517,9,13,249024,0.5857,1,0.6912,0.5997,0.682,0.2159,0
518,3,10,310361,0.2561,7,0.81,0.0943,0.4163,0.3262,1
519,9,2,221522,0.1208,7,0.4568,0.2135,0.5942,0.7526,0
520,2,10,197818,0.5271,2,0.7896,0.6513,0.2135,0.6059,1
521,11,6,208991,0.6687,9,0.7644,0.1606,0.777,0.9951,0
522,9,7,416799,0.8859,3,0.1975,0.5288,0.0613,0.3642,1
523,5,6,119254,0.0222,3,0.9035,0.0018,0.5846,0.6145,1
524,7,1,213358,0.5417,2,0.7065,0.7118,0.4448,0.9875,0
525,10,5,135810,0.5205,3,0.2539,0.6614,0.0473,0.4624,0
526,2,12,46014,0.068,2,0.5353,0.9092,0.6168,0.6642,0
527,8,13,84163,0.6566,1,0.3054,0.3448,0.5351,0.9912,0
528,10,5,194905,0.8535,9,0.1668,0.0001,0.838,0.5404,1
529,6,11,120498,0.1696,8,0.6286,0.7356,0.485,0.8337,0
530,14,12,107130,0.3168,7,0.8587,0.7364,0.0081,0.6951,0
531,7,5,464561,0.8544,10,0.3543,0.4243,0.175,0.2947,0
532,11,12,469289,0.0142,7,0.3689,0.4629,0.1846,0.0076,0
533,9,6,363276,0.6167,5,0.5203,0.0163,0.296,0.0679,0
534,9,2,432939,0.5053,10,0.8712,0.8036,0.3179,0.503,1
535,15,6,393634,0.1282,4,0.3897,0.0109,0.196,0.2858,0
536,1,7,479364,0.1081,9,0.8858,0.4261,0.573,0.7677,1
537,13,2,180430,0.7611,8,0.7527,0.3971,0.4243,0.2052,1
538,4,4,330271,0.0823,2,0.7568,0.1996,0.1403,0.1966,0
539,8,12,421187,0.6969,5,0.9072,0.2093,0.6318,0.3551,1
540,15,8,326040,0.4365,2,0.4313,0.9318,0.2979,0.8283,1
541,11,3,310768,0.3357,2,0.1902,0.6154,0.7263,0.0195,1
542,2,11,473137,0.3415,10,0.8784,0.5261,0.2764,0.9983,0
543,15,12,275780,0.0393,1,0.9869,0.9971,0.5714,0.9459,1
544,9,13,226441,0.0951,1,0.0965,0.3682,0.6776,0.2977,1
545,5,12,110928,0.0536,10,0.171,0.309,0.8233,0.0717,0
546,11,3,133447,0.1548,4,0.4153,0.6175,0.8211,0.6567,1
547,5,6,240866,0.8994,3,0.5207,0.4646,0.6907,0.2809,1
548,5,11,404940,0.3447,1,0.8526,0.3977,0.7368,0.822,1
549,15,5,127608,0.1804,7,0.8314,0.4765,0.902,0.755,1
550,10,13,33000,0.2119,8,0.1489,0.2567,0.396,0.7228,0
551,7,5,308614,0.6773,1,0.0211,0.7733,0.761,0.2512,0
552,10,12,325155,0.0341,6,0.9979,0.3421,0.8331,0.3403,0
553,8,11,271268,0.5518,2,0.2123,0.1865,0.0477,0.0536,1
554,5,5,379030,0.046,10,0.0859,0.0366,0.9008,0.1255,0
555,4,4,350841,0.9157,6,0.2449,0.3667,0.024,0.4045,1
556,5,5,376701,0.8025,10,0.6564,0.0986,0.6966,0.8276,0
557,10,8,318321,0.7264,9,0.645,0.0669,0.0098,0.3079,1
558,1,10,443761,0.7087,10,0.4587,0.2518,0.4464,0.7565,0
559,5,4,273188,0.9181,1,0.3927,0.1737,0.1883,0.3493,0
560,8,5,151234,0.5282,9,0.7643,0.4022,0.804,0.1347,1
561,9,5,382156,0.4088,1,0.8129,0.1044,0.8954,0.9287,0
562,5,9,162373,0.8099,8,0.6439,0.715,0.0143,0.1289,0
563,15,13,384310,0.8099,7,0.8443,0.9226,0.306,0.5828,1
564,6,3,258651,0.2869,10,0.7654,0.6245,0.5776,0.8031,0
565,15,3,162332,0.1032,8,0.127,0.5773,0.5748,0.1871,1
566,15,7,392838,0.3693,4,0.2342,0.928,0.8347,0.7488,1
567,3,12,262906,0.6838,6,0.2962,0.4831,0.9332,0.7866,0
568,1,11,333546,0.5115,2,0.5665,0.1624,0.149,0.2147,1
569,15,11,168643,0.0419,1,0.0165,0.6579,0.0719,0.1099,1
570,5,2,198901,0.3204,10,0.9917,0.3974,0.0456,0.2521,0
571,7,10,38055,0.1685,5,0.2751,0.3519,0.6711,0.5591,0
572,9,13,149909,0.7575,8,0.4898,0.3041,0.2785,0.9963,1
573,11,3,135835,0.9271,10,0.1691,0.6091,0.8633,0.9202,1
574,10,6,264530,0.3995,5,0.5296,0.3173,0.6758,0.4957,1
575,4,12,260489,0.9222,5,0.0899,0.3992,0.45,0.5539,1
576,5,5,214101,0.7969,7,0.6515,0.4082,0.8499,0.8832,0
577,13,9,262857,0.6581,10,0.7608,0.5211,0.8785,0.184,1
578,8,12,356680,0.5571,10,0.4457,0.0252,0.8722,0.0518,0
579,1,8,76826,0.938,9,0.7816,0.5715,0.0081,0.1121,1
580,15,2,166143,0.2475,9,0.9612,0.4774,0.1666,0.9413,0
581,12,13,253719,0.0929,4,0.5813,0.6859,0.6561,0.0279,0
582,11,10,389141,0.8249,5,0.9546,0.6516,0.5621,0.7957,0
583,9,1,468394,0.3467,4,0.7705,0.9413,0.1166,0.6061,0
584,6,2,46183,0.7957,3,0.9526,0.6815,0.0598,0.2208,0
585,3,5,238994,0.1398,9,0.8685,0.8099,0.397,0.6039,1
586,11,7,441535,0.8792,6,0.2819,0.999,0.6051,0.393,0
587,1,1,354746,0.9795,3,0.9523,0.2808,0.9128,0.2037,1
588,10,7,102638,0.8922,4,0.0373,0.7578,0.7129,0.8652,1
589,12,10,76008,0.4885,3,0.4853,0.8731,0.2118,0.0452,1
590,10,6,63836,0.2428,5,0.1585,0.8099,0.4227,0.5018,0
591,4,4,408255,0.9223,1,0.5513,0.0821,0.0291,0.6606,0
592,4,9,327174,0.3122,1,0.9379,0.7812,0.6416,0.083,0
593,8,4,191601,0.7387,2,0.5061,0.8519,0.5048,0.1861,1
594,1,2,93161,0.1113,5,0.5508,0.3425,0.3666,0.5099,0
595,9,10,243397,0.231,1,0.8107,0.9298,0.5566,0.0485,0
596,13,3,416609,0.1876,1,0.23,0.222,0.165,0.7494,0
597,6,12,103792,0.91,9,0.0782,0.9092,0.1065,0.6117,0
598,7,12,83537,0.2425,3,0.9618,0.1452,0.727,0.272,1
599,7,11,260162,0.0365,3,0.2784,0.9982,0.0136,0.4834,0
600,9,10,390557,0.4617,4,0.1212,0.3476,0.4623,0.2852,1
601,11,12,445903,0.8032,2,0.1424,0.6243,0.2607,0.4759,0
602,1,9,389151,0.8436,1,0.6326,0.1066,0.6118,0.9991,0
603,5,5,417786,0.4341,9,0.1873,0.1037,0.7061,0.3234,1
604,13,10,269931,0.9347,8,0.6418,0.7923,0.4447,0.8959,0
605,7,11,200888,0.637,3,0.0353,0.4775,0.0482,0.001,1
606,12,10,423222,0.8147,1,0.1232,0.1246,0.2345,0.0873,0
607,2,3,419251,0.7671,9,0.3287,0.5461,0.2141,0.2907,0
608,8,3,184595,0.8994,10,0.6817,0.2979,0.5462,0.9889,1
609,6,9,331550,0.4266,9,0.355,0.2075,0.7041,0.2718,1
610,15,13,149560,0.6299,5,0.0258,0.4396,0.175,0.2014,1
611,12,11,292441,0.3213,10,0.2839,0.941,0.8339,0.2786,1
612,15,3,88554,0.6081,2,0.9791,0.6264,0.586,0.2674,0
613,15,2,284132,0.5055,5,0.709,0.9099,0.7199,0.5548,0
614,13,1,225033,0.1914,1,0.8272,0.9239,0.6233,0.1616,0
615,4,8,169040,0.2289,1,0.1214,0.2826,0.5922,0.7339,1
616,12,9,298939,0.1854,3,0.2003,0.9338,0.9154,0.3489,1
617,2,10,191355,0.4073,7,0.9378,0.346,0.7231,0.0591,0
618,13,1,373860,0.6082,4,0.1481,0.949,0.6638,0.8551,1
619,15,1,293922,0.2763,4,0.5927,0.6824,0.689,0.9018,1
620,12,13,380723,0.0532,10,0.6185,0.0742,0.3702,0.9918,1
621,8,10,83878,0.5902,5,0.8672,0.4827,0.4952,0.8797,1
622,5,4,56493,0.9222,9,0.7989,0.0011,0.1248,0.1118,0
623,15,6,57510,0.4114,9,0.1165,0.0477,0.5098,0.8527,0
624,2,7,198054,0.7109,4,0.7165,0.4354,0.4142,0.7724,0
625,8,12,469601,0.3269,10,0.6775,0.4004,0.339,0.3454,0
626,4,6,487883,0.2513,7,0.5346,0.1716,0.0455,0.7365,1
627,9,2,217433,0.9272,8,0.7711,0.443,0.4973,0.7846,1
628,9,10,386887,0.5289,3,0.9544,0.1031,0.9824,0.8886,1
629,6,11,333673,0.513,3,0.8829,0.9719,0.0427,0.7174,1
630,11,5,155755,0.4644,6,0.9885,0.2988,0.8393,0.4401,1
631,10,3,245689,0.3621,7,0.2178,0.0624,0.8253,0.7747,1
632,5,5,312664,0.5221,8,0.6963,0.6193,0.9792,0.6399,0
633,10,8,215606,0.6797,4,0.7263,0.0888,0.5027,0.3309,1
634,7,5,58120,0.2175,4,0.977,0.5311,0.6883,0.2145,0
635,15,11,497431,0.1056,4,0.2355,0.0809,0.6493,0.754,1
636,13,3,358717,0.1942,2,0.7416,0.6217,0.1105,0.0409,1
637,8,2,209475,0.4815,3,0.5623,0.4879,0.6156,0.5173,1
638,1,2,404922,0.5039,7,0.7903,0.4481,0.1981,0.0041,0
639,3,5,61684,0.2951,8,0.0732,0.6923,0.0041,0.8551,0
640,13,10,106953,0.7263,3,0.9959,0.8369,0.8216,0.9217,0
641,10,2,39034,0.5723,1,0.182,0.8957,0.9654,0.4518,1
642,2,6,487999,0.145,9,0.5791,0.5078,0.9421,0.0523,0
643,4,11,450209,0.0632,2,0.4758,0.9775,0.0524,0.5692,1
644,10,5,202102,0.3042,2,0.6149,0.0966,0.0557,0.3211,1
645,2,8,484038,0.4443,7,0.041,0.8502,0.1402,0.8019,0
646,7,6,199663,0.0396,5,0.0084,0.9168,0.5798,0.9149,0
647,12,5,467626,0.7878,10,0.8875,0.2843,0.247,0.4136,0
648,3,11,370830,0.9892,6,0.633,0.1942,0.8983,0.3204,1
649,5,13,116314,0.7903,2,0.5292,0.6377,0.778,0.0169,1
650,5,6,482365,0.1597,5,0.8663,0.6419,0.9742,0.7828,1
651,5,4,368130,0.1454,3,0.2012,0.0942,0.2549,0.4921,1
652,11,2,87030,0.9004,10,0.8193,0.4598,0.7155,0.6098,0
653,12,11,176607,0.5281,8,0.8478,0.3772,0.1342,0.0974,0
654,13,5,416128,0.3208,8,0.6874,0.3155,0.5907,0.4726,0
655,6,10,75396,0.3351,1,0.6608,0.0997,0.6048,0.2152,0
656,4,11,148398,0.0892,9,0.7546,0.905,0.9753,0.5713,1
657,11,3,259849,0.1382,9,0.705,0.5439,0.7954,0.6549,0
658,10,2,486630,0.4461,6,0.5999,0.7939,0.7681,0.576,1
659,5,1,301980,0.1145,6,0.5668,0.8325,0.9542,0.8982,0
660,3,7,31961,0.9379,9,0.8023,0.0132,0.7522,0.8514,0
661,2,5,454233,0.7086,10,0.0907,0.7549,0.2109,0.4226,1
662,9,7,331020,0.0585,6,0.0044,0.8259,0.1305,0.0242,1
663,6,6,291397,0.9536,5,0.7174,0.7309,0.6818,0.914,1
664,11,9,393792,0.0738,9,0.4179,0.9216,0.7432,0.0888,1
665,6,8,265651,0.5475,10,0.2973,0.5384,0.8768,0.6459,1
666,1,2,377421,0.8628,2,0.0824,0.3179,0.8357,0.505,0
667,5,9,454435,0.2487,3,0.5975,0.2685,0.0658,0.2859,1
668,3,1,389205,0.9509,8,0.7783,0.602,0.159,0.2598,0
669,3,5,175628,0.3279,2,0.702,0.9759,0.4996,0.55,1
670,12,12,316558,0.6543,7,0.2368,0.9176,0.6167,0.4174,0
671,5,12,463664,0.1044,7,0.2143,0.4378,0.7405,0.3489,1
672,4,12,78113,0.094,7,0.4652,0.699,0.459,0.9705,1
673,12,3,427208,0.0972,8,0.3863,0.2287,0.563,0.8732,0
674,8,1,100851,0.4631,9,0.751,0.0099,0.3657,0.3898,1
675,7,3,30599,0.1593,3,0.796,0.8379,0.3923,0.8338,1
676,11,2,225335,0.4138,2,0.3982,0.2797,0.4585,0.3189,0
677,15,3,415688,0.9869,3,0.6362,0.3546,0.2212,0.6271,0
678,7,9,275437,0.0361,7,0.3165,0.845,0.1427,0.7075,1
679,13,13,225363,0.4111,2,0.3013,0.0248,0.1859,0.756,0
680,3,8,104577,0.7988,3,0.8858,0.0933,0.5937,0.8887,1
681,12,9,450949,0.5071,1,0.1915,0.4676,0.8876,0.6149,0
682,9,11,316369,0.9858,10,0.373,0.6801,0.7928,0.5512,1
683,8,1,196660,0.9989,4,0.663,0.0838,0.9173,0.1889,1
684,15,12,348331,0.9859,2,0.9646,0.3856,0.176,0.5553,1
685,12,3,282828,0.8394,6,0.3758,0.434,0.5045,0.9856,0
686,7,11,121757,0.6096,9,0.3902,0.5431,0.5816,0.3768,0
687,8,9,60853,0.8806,1,0.5532,0.5813,0.2761,0.1629,0
688,4,10,490506,0.4945,5,0.3054,0.0566,0.2595,0.5755,0
689,11,5,95536,0.9904,3,0.2863,0.015,0.3774,0.9528,1
690,2,1,448134,0.97,6,0.4202,0.8737,0.8639,0.8775,1
691,12,13,234218,0.4065,1,0.2301,0.0474,0.1225,0.4766,1
692,12,1,143564,0.5591,1,0.8249,0.9551,0.8032,0.9727,1
693,13,12,121834,0.6362,4,0.0059,0.6388,0.2036,0.1632,0
694,8,3,449615,0.2147,6,0.1047,0.0007,0.5366,0.2068,0
695,12,5,209204,0.6681,4,0.546,0.6401,0.5106,0.9878,0
696,11,13,309194,0.8343,6,0.2782,0.2337,0.6704,0.0663,1
697,15,11,171791,0.8684,1,0.0998,0.3055,0.4494,0.5128,1
698,10,9,242604,0.5368,3,0.4886,0.4965,0.418,0.7162,0
699,1,1,32610,0.088,5,0.8085,0.3103,0.8961,0.7299,0
700,14,11,270828,0.5212,7,0.5467,0.9416,0.2262,0.254,0
701,8,5,74130,0.4314,9,0.7648,0.6713,0.9565,0.1401,1
702,13,6,215271,0.9362,2,0.9417,0.301,0.677,0.9744,1
703,8,4,409356,0.8213,8,0.1165,0.2365,0.4349,0.2533,1
704,3,2,193538,0.9579,1,0.3436,0.6016,0.2603,0.379,0
705,6,2,392823,0.1034,9,0.5869,0.7976,0.5032,0.026,1
706,7,4,492973,0.1732,4,0.2113,0.3172,0.4964,0.2719,1
707,3,9,213010,0.9539,2,0.8291,0.0577,0.1639,0.8995,1
708,7,8,190573,0.4196,9,0.6095,0.4504,0.5072,0.9578,1
709,2,6,71852,0.1288,6,0.7386,0.6227,0.2392,0.0695,0
710,10,8,409495,0.0459,10,0.9334,0.4835,0.4116,0.4515,0
711,5,7,206518,0.3468,7,0.6031,0.2493,0.4629,0.6614,0
712,3,5,353767,0.5873,3,0.9472,0.1108,0.8627,0.3978,1
713,15,4,98701,0.7457,10,0.9116,0.5333,0.1966,0.1235,1
714,2,13,358002,0.101,1,0.1253,0.2239,0.0881,0.226,0
715,2,9,275561,0.6474,4,0.5729,0.3135,0.6231,0.0461,1
716,12,1,376955,0.4625,9,0.5651,0.5088,0.2995,0.4772,1
717,4,9,476178,0.4746,1,0.6965,0.8075,0.3816,0.5797,0
718,3,11,150272,0.9398,1,0.7808,0.9917,0.4527,0.3908,0
719,13,12,271644,0.6123,9,0.8846,0.6659,0.2144,0.4403,1
720,1,8,312639,0.469,1,0.4826,0.5148,0.9085,0.6524,0
721,12,8,171664,0.2575,6,0.2784,0.5685,0.3808,0.1182,0
722,4,5,139633,0.2486,3,0.7413,0.2001,0.3148,0.2809,0
723,4,9,164280,0.0061,1,0.369,0.8618,0.4398,0.2212,1
724,8,13,46638,0.7463,1,0.11,0.2643,0.8282,0.1562,0
725,12,3,268564,0.5987,8,0.1589,0.573,0.7626,0.22,1
726,1,2,315804,0.3143,9,0.4122,0.0947,0.9228,0.7055,0
727,6,8,165691,0.8875,9,0.4501,0.4001,0.6897,0.3,0
728,9,12,166054,0.4031,5,0.0741,0.8191,0.9116,0.9235,0
729,14,1,111494,0.4831,9,0.0117,0.3959,0.7462,0.6474,1
730,13,3,337110,0.3602,4,0.8765,0.3659,0.9573,0.3803,1
731,12,5,376975,0.5393,8,0.2128,0.2255,0.9883,0.7145,1
732,15,4,410102,0.7985,10,0.3172,0.5535,0.5133,0.315,1
733,4,10,218751,0.4721,2,0.6119,0.4304,0.4782,0.0611,0
734,3,10,77924,0.2819,4,0.0008,0.074,0.8006,0.8106,0
735,6,11,333034,0.1519,1,0.9782,0.5781,0.8351,0.0236,1
736,3,7,79483,0.605,3,0.9127,0.7032,0.0982,0.1674,0
737,10,4,132108,0.2071,1,0.7619,0.3174,0.9342,0.192,0
738,10,13,170914,0.1763,6,0.1747,0.4865,0.498,0.574,1
739,13,10,237092,0.8302,5,0.7466,0.2413,0.3377,0.0187,1
